epoch,train_loss,val_mae,val_r2,lr
1,0.568334721301387,1.096381153169088,0.5767836252787586,3.0000000000000024e-05
2,0.4268048251184022,1.0327493291589394,0.5931632067924704,3.0000000000000024e-05
3,0.38105300813913345,0.9219927560213428,0.680525049670035,3.0000000000000024e-05
4,0.351294289456635,0.8573676543496104,0.710004864123444,3.0000000000000024e-05
5,0.3368660883478275,0.8319362258761327,0.7270718333098236,3.0000000000000024e-05
6,0.31988979071923873,0.8146976103575393,0.7327348084783242,3.0000000000000024e-05
7,0.3069813073408313,0.7715746813006369,0.7582555412080558,3.0000000000000024e-05
8,0.2992735349732201,0.7781532478030472,0.7498634389656468,3.0000000000000024e-05
9,0.29261911465082224,0.7608828807295744,0.7633630678522405,3.0000000000000024e-05
10,0.28386355123323637,0.7266960498506632,0.7786219632656695,3.0000000000000024e-05
11,0.2740349547892082,0.726917177717516,0.7817607045255661,3.0000000000000024e-05
12,0.2666536450567769,0.7189345782484976,0.784103001916997,3.0000000000000024e-05
13,0.26354008949384455,0.6930278308457852,0.7999857435452549,3.0000000000000024e-05
14,0.2568732180700796,0.710741433895734,0.7910812481879472,3.0000000000000024e-05
15,0.25288474191797944,0.6935973446214174,0.7957765892090923,3.0000000000000024e-05
16,0.24457444214239354,0.6717221138048314,0.81275405408206,3.0000000000000024e-05
17,0.24388260035434875,0.6646392875083195,0.8138424349711486,3.0000000000000024e-05
18,0.2398248048181214,0.6920840162251284,0.8003189995144055,3.0000000000000024e-05
19,0.23749842353892037,0.6659599196503798,0.8170078974374446,3.0000000000000024e-05
20,0.2331381319317876,0.6467600476517595,0.81909049597096,3.0000000000000024e-05
21,0.23236672430321936,0.6518223214284623,0.8236893848851213,3.0000000000000024e-05
22,0.227456723135419,0.6705566312746261,0.8096540718504153,3.0000000000000024e-05
23,0.22436607669948078,0.6555046741719279,0.8145708691196515,3.0000000000000024e-05
24,0.22028875982434284,0.6265570285796875,0.8285333597231664,3.0000000000000024e-05
25,0.217432858967563,0.660262859463473,0.8189177620332119,3.0000000000000024e-05
26,0.21746174418708172,0.6302904419645591,0.8254674026906021,3.0000000000000024e-05
27,0.211249189224185,0.6146018191690684,0.8366351043240149,3.0000000000000024e-05
28,0.21181270139428174,0.6277031813426458,0.8372525490068627,3.0000000000000024e-05
29,0.20740465424591448,0.5988604588790344,0.8449996136599167,3.0000000000000024e-05
30,0.20397793079113088,0.6038199035420598,0.8399144847219528,3.0000000000000024e-05
31,0.20179327577352524,0.6079642417758402,0.8389978066322157,3.0000000000000024e-05
32,0.20166215623115621,0.5922005863825055,0.8436698933813777,3.0000000000000024e-05
33,0.19718756690257933,0.595980237872666,0.8486333110369715,3.0000000000000024e-05
34,0.19602329238522342,0.62710075995683,0.8346585866154295,3.0000000000000024e-05
35,0.1967117594009856,0.5812560857442042,0.8545296682080304,3.0000000000000024e-05
36,0.19293450695894113,0.5934699816652977,0.8460121112340033,3.0000000000000024e-05
37,0.19189859270231752,0.6011238828243015,0.8431147202955717,3.0000000000000024e-05
38,0.18872061299114692,0.5929337989142961,0.8446880306374971,3.0000000000000024e-05
39,0.1862554135618777,0.5746465238465176,0.8513261897522731,3.0000000000000024e-05
40,0.18486713792947007,0.5761463033150309,0.85803682858992,3.0000000000000024e-05
41,0.18225869236559403,0.5842663483987411,0.8474128915498874,3.0000000000000024e-05
42,0.17958137161302856,0.5958996687774273,0.8419342278850293,3.0000000000000024e-05
43,0.1784299667243187,0.5718215871329918,0.8577312067803138,3.0000000000000024e-05
44,0.17720860306446146,0.5724894988413235,0.8563739570143077,3.0000000000000024e-05
45,0.1755525224228821,0.5540081867623964,0.8651695994064026,3.0000000000000024e-05
46,0.17458738263969015,0.5574350510593531,0.8634822512215339,3.0000000000000024e-05
47,0.17244120217041997,0.5519301871872432,0.8614568655380008,3.0000000000000024e-05
48,0.17063283788540015,0.5435534908856546,0.8688250311581098,3.0000000000000024e-05
49,0.17029036763237743,0.5620984423366607,0.8601257753653752,3.0000000000000024e-05
50,0.16858033590563914,0.552700920989087,0.869431689489015,3.0000000000000024e-05
51,0.16625930171278192,0.5627323662663819,0.8585337638973997,3.0000000000000024e-05
